index,location,description,secs,category,CDNumber,CDName,tracknum,isCrowd,bitRate,isStereo,duration
0,07003008.wav,Church atmosphere with crowd.,377,,EC1C4,Crowds-Interior,1,1,44100,2,375.2431746031746
1,07003009.wav,Crowd atmosphere in Westminster Abbey with voices and footsteps.,404,,EC1C4,Crowds-Interior,2,1,44100,2,402.55442176870747
2,07003029.wav,"London Airport. Ground floor. Terminal III, lively acoustic, feet, voices, movement, indistinc tannoy",365,,EC1C9,Crowds: Interior- London Airport,1,1,44100,2,365.32
3,07003030.wav,"London Airport: First floor lounge, terminal III & occasional tannoy",373,London: London Airport: First floor lounge,EC1C9,Crowds: Interior- London Airport,2,1,44100,2,372.3333333333333
4,07003043.wav,"Old Vic: Quiet audience, people entering auditorium with some noise from bars. (Tehnical note for use 2+ low level)",212,Theatres: Old Vic,EC1C13,Theatre Crowds,1,1,44100,2,212.14666666666668
5,07003044.wav,"Old Vic: Busy speech whilst audience take their seats, full house",236,Theatres: Old Vic,EC1C13,Theatre Crowds,2,1,44100,2,236.2
6,07003045.wav,"Old Vic: Applause at end of act, interval chatter.",63,Theatres: Old Vic,EC1C13,Theatre Crowds,3,1,44100,2,62.72
7,07003046.wav,Old Vic: Audience laughter in a theatre.,6,Theatres: Old Vic,EC1C13,Theatre Crowds,4,1,44100,2,6.0
8,07003047.wav,Old Vic: Audience laughter in a theatre.,6,Theatres: Old Vic,EC1C13,Theatre Crowds,5,1,44100,2,6.0
9,07003048.wav,Old Vic: Audience laughter in a theatre.,6,Theatres: Old Vic,EC1C13,Theatre Crowds,6,1,44100,2,6.0
10,07003049.wav,Old Vic: Audience laughter in a theatre.,6,Theatres: Old Vic,EC1C13,Theatre Crowds,7,1,44100,2,6.0
11,07003050.wav,"Old Vic: Final applause, audience leave theatre.",282,Theatres: Old Vic,EC1C13,Theatre Crowds,8,1,44100,2,282.70666666666665
12,07003053.wav,"Laughter and applause. (Recorded in Broadcasting House Concert Hall, London)",12,,EC1C15,Crowds: Interior,1,1,44100,2,11.386666666666667
13,07003054.wav,"Laughter and applause. (Recorded in Broadcasting House Concert Hall, London)",25,,EC1C15,Crowds: Interior,2,1,44100,2,25.093333333333334
14,07003055.wav,"Little laughter. (Recorded in Broadcasting House Concert Hall, London)",6,,EC1C15,Crowds: Interior,3,1,44100,2,6.0
15,07003056.wav,"Laughter. (Recorded in Broadcasting House Concert Hall, London)",6,,EC1C15,Crowds: Interior,4,1,44100,2,6.1466666666666665
