crowd_row,crowd_path,crowd_duration,crowd_fs,crowd_start_index,crowd_end_index,crowd_weight,crowd_sample_duration,voice_row,voice_path,voice_duration,voice_fs,voice_start_index,voice_end_index,voice_weight,voice_gender,voice_sample_duration,start_merge_index,merged_fs
0,/data/crowd_wav/07015013.wav,60,44100,463310,528846,0.5162099769684556,4.096,0,/data/librivox/train-clean-360/8855/283242/8855-283242-0052.flac,13.735,16000,103068,168604,0.4837900230315444,M,4.096,0,16000
1,/data/crowd_wav/07043086.wav,135,44100,1625021,1690557,0.4224438862754661,4.096,1,/data/librivox/train-clean-360/3025/12971/3025-12971-0014.flac,14.78,16000,174237,236480.0,0.577556113724534,F,3.8901875,0,16000
2,/data/crowd_wav/07028021.wav,366,44100,5122671,5188207,0.5758666975067848,4.096,2,/data/librivox/train-clean-360/7874/110243/7874-110243-0113.flac,14.76,16000,134346,199882,0.42413330249321524,M,4.096,0,16000
3,/data/crowd_wav/07064061.wav,12,44100,90172,155708,0.32315961249979697,4.096,3,/data/librivox/train-clean-100/3983/5331/3983-5331-0035.flac,15.43,16000,197474,246880.0,0.676840387500203,F,3.087875,0,16000
4,/data/crowd_wav/07039016.wav,19,44100,220243,285779,0.6832004969980294,4.096,4,/data/librivox/train-clean-360/8684/293663/8684-293663-0044.flac,15.83,16000,95717,161253,0.3167995030019706,F,4.096,0,16000
5,/data/crowd_wav/07055008.wav,11,44100,23647,89183,0.6054905101659377,4.096,5,/data/librivox/train-clean-360/5489/65803/5489-65803-0015.flac,13.565,16000,164071,217040.0,0.3945094898340623,F,3.3105625,0,16000
6,/data/crowd_wav/07029146.wav,396,44100,4317593,4383129,0.5544041504142329,4.096,6,/data/librivox/test-other/5764/299665/5764-299665-0007.flac,17.01,16000,89885,155421,0.44559584958576715,M,4.096,0,16000
7,/data/crowd_wav/07039079.wav,84,44100,1079155,1144691,0.6624199352377752,4.096,7,/data/librivox/train-clean-360/6167/282391/6167-282391-0018.flac,14.26,16000,93406,158942,0.3375800647622248,F,4.096,0,16000
8,/data/crowd_wav/07015031.wav,80,44100,610657,676193,0.46631725254434586,4.096,8,/data/librivox/train-clean-100/27/124992/27-124992-0033.flac,8.635,16000,116402,138160.0,0.5336827474556541,M,1.359875,0,16000
9,/data/crowd_wav/07017181.wav,407,44100,6093704,6159240,0.6392146191469348,4.096,9,/data/librivox/train-clean-360/8388/275212/8388-275212-0054.flac,8.925,16000,95288,142800.0,0.3607853808530652,F,2.9695,0,16000
10,/data/crowd_wav/07003099.wav,13,44100,9699,75235,0.446228984619333,4.096,10,/data/librivox/train-clean-360/5655/46267/5655-46267-0022.flac,14.95,16000,210470,239200.0,0.553771015380667,F,1.795625,0,16000
11,/data/crowd_wav/07039081.wav,84,44100,842399,907935,0.5719099275783408,4.096,11,/data/librivox/train-clean-360/8758/291168/8758-291168-0033.flac,14.985,16000,21691,87227,0.4280900724216592,M,4.096,0,16000
12,/data/crowd_wav/07039100.wav,14,44100,75999,141535,0.5648298530560898,4.096,12,/data/librivox/train-clean-360/724/123285/724-123285-0036.flac,14.73,16000,220393,235680.0,0.4351701469439102,M,0.9554375,0,16000
13,/data/crowd_wav/07031049.wav,181,44100,2108126,2173662,0.3453396434176266,4.096,13,/data/librivox/train-clean-360/511/131228/511-131228-0014.flac,5.145,16000,51494,82320.0,0.6546603565823734,M,1.926625,0,16000
14,/data/crowd_wav/07003111.wav,9,44100,58618,124154,0.5342224672151578,4.096,14,/data/librivox/train-clean-360/666/11243/666-11243-0082.flac,15.045,16000,188905,240720.0,0.46577753278484224,F,3.2384375,0,16000
15,/data/crowd_wav/07036066.wav,459,44100,3126788,3192324,0.4024790315600573,4.096,15,/data/librivox/train-clean-360/6505/231836/6505-231836-0006.flac,15.195,16000,24400,89936,0.5975209684399427,F,4.096,0,16000
16,/data/crowd_wav/07063085.wav,120,44100,1490024,1555560,0.47508353673156045,4.096,16,/data/librivox/train-clean-360/5588/68188/5588-68188-0010.flac,15.76,16000,29350,94886,0.5249164632684395,F,4.096,0,16000
17,/data/crowd_wav/07064064.wav,12,44100,116342,181878,0.4272053877806677,4.096,17,/data/librivox/train-clean-100/83/9960/83-9960-0001.flac,13.995,16000,131633,197169,0.5727946122193324,F,4.096,0,16000
18,/data/crowd_wav/07039077.wav,93,44100,885013,950549,0.5921241080164472,4.096,18,/data/librivox/dev-other/3663/172005/3663-172005-0007.flac,7.62,16000,105669,121920.0,0.4078758919835528,F,1.0156875,0,16000
19,/data/crowd_wav/07051032.wav,243,44100,1933902,1999438,0.3042120744511153,4.096,19,/data/librivox/train-clean-360/90/130566/90-130566-0008.flac,14.785,16000,166041,231577,0.6957879255488847,M,4.096,0,16000
20,/data/crowd_wav/07047063.wav,32,44100,353639,419175,0.4327635372590626,4.096,20,/data/librivox/train-clean-360/296/129659/296-129659-0000.flac,14.24,16000,165308,227840.0,0.5672364627409374,M,3.90825,0,16000
21,/data/crowd_wav/07043070.wav,79,44100,329322,394858,0.47654497185085753,4.096,21,/data/librivox/test-other/533/131562/533-131562-0016.flac,6.26,16000,64379,100160.0,0.5234550281491425,F,2.2363125,0,16000
22,/data/crowd_wav/07057013.wav,73,44100,268699,334235,0.6252066880400609,4.096,22,/data/librivox/dev-clean/7976/105575/7976-105575-0007.flac,6.48,16000,19298,84834,0.37479331195993915,M,4.096,0,16000
23,/data/crowd_wav/07073024.wav,284,44100,3563240,3628776,0.5580159581431503,4.096,23,/data/librivox/train-clean-360/166/352/166-352-0018.flac,15.925,16000,200983,254800.0,0.4419840418568497,F,3.3635625,0,16000
24,/data/crowd_wav/07043046.wav,56,44100,315411,380947,0.42288097701994665,4.096,24,/data/librivox/train-clean-100/6437/66172/6437-66172-0041.flac,14.725,16000,213107,235600.0,0.5771190229800534,M,1.4058125,0,16000
25,/data/crowd_wav/07050211.wav,155,44100,1924913,1990449,0.45674335459037085,4.096,25,/data/librivox/train-clean-100/233/155990/233-155990-0035.flac,14.105,16000,68124,133660,0.5432566454096291,M,4.096,0,16000
26,/data/crowd_wav/07046179.wav,66,44100,586980,652516,0.5242069653320721,4.096,26,/data/librivox/train-clean-360/511/131228/511-131228-0065.flac,16.33,16000,223674,261279.99999999997,0.4757930346679279,M,2.3503749999999983,0,16000
27,/data/crowd_wav/07038093.wav,85,44100,1129880,1195416,0.6439971300381806,4.096,27,/data/librivox/train-clean-360/1845/145088/1845-145088-0025.flac,14.13,16000,190170,226080.0,0.3560028699618194,F,2.244375,0,16000
28,/data/crowd_wav/07015007.wav,211,44100,2085596,2151132,0.5339130501915264,4.096,28,/data/librivox/train-clean-360/362/123049/362-123049-0025.flac,16.32,16000,202951,261120.0,0.46608694980847365,F,3.6355625,0,16000
29,/data/crowd_wav/07044092.wav,100,44100,1026143,1091679,0.4654132033084608,4.096,29,/data/librivox/train-clean-360/487/129440/487-129440-0073.flac,12.0,16000,48796,114332,0.5345867966915392,M,4.096,0,16000
30,/data/crowd_wav/07005086.wav,21,44100,143177,208713,0.6876584019988728,4.096,30,/data/librivox/train-clean-360/7314/93277/7314-93277-0022.flac,13.315,16000,27413,92949,0.31234159800112715,M,4.096,0,16000
31,/data/crowd_wav/07047050.wav,100,44100,1356153,1421689,0.5758212312009482,4.096,31,/data/librivox/train-clean-360/2758/86588/2758-86588-0017.flac,12.895,16000,177918,206320.0,0.4241787687990518,F,1.775125,0,16000
